"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4538","NCTD_20210","20210","20210","N River Rd & Avenida Descanso","33.24516900","-117.31398800","NCTD","","F-E/B","","","33.2451641838202","-117.31397603452581"
"4539","NCTD_20211","20211","20211","Mission Av & Mission Gate Dr","33.22986700","-117.31205900","NCTD","","F-E/B","","","33.22986218592158","-117.31204703601931"
"4540","NCTD_20212","20212","20212","Oceanside Blvd & Rancho Del Oro Dr","33.20314700","-117.31049900","NCTD","","F-E/B","rdosta","","33.20314218837992","-117.31048703858715"
"4541","NCTD_20218","20218","20218","N River Rd & Calle Montecito","33.24537600","-117.30823500","NCTD","","F-E/B","","","33.24537118313014","-117.30822303543566"
"4542","NCTD_20219","20219","20219","Vandegrift Bl & 19th","33.31749300","-117.30907500","NCTD","","F-E/B","","","33.31748817511874","-117.3090630312397"
"4543","NCTD_20220","20220","20220","Mission Av & Old Grove Rd","33.22925600","-117.30527400","NCTD","","F-E/B","misogE","","33.22925118505528","-117.30526203761214"
"4544","NCTD_20222","20222","20222","Carlsbad Village Dr & Chatham Rd","33.16651500","-117.30343300","NCTD","","F-E/B","","","33.16651019233812","-117.30342104258686"
"4545","NCTD_20226","20226","20226","Barnard Dr & Carr Dr","33.18792800","-117.29827900","NCTD","","N-E/B","","","33.187923190073306","-117.29826704186056"
"4546","NCTD_20227","20227","20227","Lake Bl & Esplanade St","33.17929700","-117.29117800","NCTD","","F-E/B","","","33.179292190808304","-117.29116604348381"
"4547","NCTD_20228","20228","20228","Waring Rd & Waring Ct","33.18780000","-117.29033700","NCTD","","F-E/B","","","33.187795188972785","-117.29032504410665"
"4548","NCTD_20229","20229","20229","Oceanside Blvd & Avenida Del Oro","33.20596800","-117.28867300","NCTD","","F-E/B","osdorE","","33.20596318687812","-117.2886610423628"
"4549","NCTD_20230","20230","20230","Oceanside Blvd & Collge Blvd","33.20721800","-117.28423700","NCTD","","F-E/B","","","33.2072131871095","-117.28422504325475"
"4550","NCTD_20232","20232","20232","Encinitas Bl & Westlake St","33.04755900","-117.27894200","NCTD","","F-E/B","","","33.047554204487184","-117.27893005551661"
"4551","NCTD_20233","20233","20233","W Vista Way & Emerald Dr","33.18914100","-117.27885000","NCTD","","F-E/B","","","33.18913618880798","-117.27883804519708"
"4552","NCTD_20236","20236","20236","Palomar Airport Rd & Yarrow Dr","33.12577700","-117.27461400","NCTD","","F-E/B","paryaN","","33.12577219604769","-117.27460205101455"
"4553","NCTD_20238","20238","20238","W Vista Way & Grapevine Rd","33.19065800","-117.27452700","NCTD","","F-E/B","","","33.190653187865","-117.27451504658"
"4554","NCTD_20240","20240","20240","Oceanside Blvd & Peacock Blvd","33.21449200","-117.27300200","NCTD","","F-E/B","","","33.21448718519234","-117.27299004422628"
"4555","NCTD_20242","20242","20242","Lomas Santa Fe Dr & Rios Av","32.99236100","-117.26894200","NCTD","","F-E/B","","","32.99235621123255","-117.2689300622261"
"4556","NCTD_20244","20244","20244","Oceanside Blvd & Temple Heights Dr","33.21688500","-117.27011400","NCTD","","F-E/B","","","33.21688018460468","-117.27010204495147"
"4557","NCTD_20245","20245","20245","N Santa Fe Av & Champlain St","33.23952400","-117.27041100","NCTD","","F-E/B","","","33.23951918190804","-117.2703990433613"
"4558","NCTD_20248","20248","20248","Encinitas Bl & Beechtree Dr","33.04597200","-117.26395900","NCTD","","N-E/B","","","33.04596720485174","-117.26394705888437"
"4559","NCTD_20251","20251","20251","Lomas Santa Fe Dr & Hilmen Dr","32.99552000","-117.26425400","NCTD","","F-E/B","","","32.99551520973594","-117.26424206195378"
"4560","NCTD_20252","20252","20252","Oceanside Blvd & 4927","33.21844900","-117.26818200","NCTD","","M-Street-E/B","","","33.21844418472828","-117.26817004451473"
"4561","NCTD_20253","20253","20253","W Vista Way & Santa Clara Dr","33.19424700","-117.26570500","NCTD","","N-E/B","","","33.19424218689453","-117.26569304773518"
"4562","NCTD_20254","20254","20254","N Santa Fe Av & Darwin Dr","33.23723700","-117.26476200","NCTD","","F-E/B","","","33.23723218243372","-117.26475004321793"
"4563","NCTD_20255","20255","20255","W Vista Way & Copper Av","33.19447200","-117.26083600","NCTD","","F-E/B","","","33.19446718678067","-117.26082404808807"
"4564","NCTD_20258","20258","20258","Encinitas Bl & Cam Delas Flores","33.04560600","-117.25466000","NCTD","","F-E/B","","","33.04560120366119","-117.2546480601182"
"4565","NCTD_20262","20262","20262","W Vista Way & Melrose Dr","33.19546100","-117.25397900","NCTD","","F-E/B","wvisme","","33.1954561861824","-117.25396704991707"
"4566","NCTD_20267","20267","20267","Encinitas Bl & Village Park Way","33.04490400","-117.24846100","NCTD","","F-E/B","","","33.0448992036032","-117.24844906093998"
"4567","NCTD_20268","20268","20268","S Mission Rd & Ammunition Rd","33.37041300","-117.25186900","NCTD","","F-S/B","misamS","","33.37040816628094","-117.25185703607085"
